Epoch Train_Loss Test_Loss
0 18.704788 14.803376
1 12.743567 13.495743
2 11.725620 10.895992
3 11.332624 11.005465
4 11.088657 10.043903
5 10.593425 9.822386
6 10.277833 9.870470
7 9.948624 9.458631
8 9.791267 9.477788
9 9.632634 9.203378
10 9.537737 9.114371
11 9.425060 9.355704
12 9.363285 9.231283
13 9.274097 9.269679
14 9.185539 9.164056
15 9.161440 9.132611
16 9.081803 9.064435
17 9.003786 8.923643
18 8.985299 8.918202
19 8.912457 8.692519
20 8.874970 8.814319
21 8.826180 8.730375
22 8.777684 8.837062
23 8.747478 8.801991
24 8.693042 8.853049
25 8.670798 8.819606
26 8.633097 8.736560
27 8.605520 8.664815
28 8.554465 8.667316
29 8.552869 8.703742
30 8.503489 8.617235
31 8.479338 8.555153
32 8.455835 8.469905
33 8.420776 8.599272
34 8.398631 8.486415
35 8.391763 8.631524
36 8.349606 8.527486
37 8.329995 8.486773
38 8.303490 8.559274
39 8.283444 8.485038
40 8.065196 8.345799
41 8.007882 8.332952
42 7.987713 8.216221
43 7.992265 8.228119
44 7.963883 8.246236
45 7.938221 8.160124
46 7.929900 8.192228
47 7.906869 8.181965
48 7.903628 8.188773
49 7.883863 8.247499
50 7.877551 8.177605
51 7.869731 8.154114
52 7.850681 8.163476
53 7.842248 8.208691
54 7.840221 8.189063
55 7.831099 8.213624
56 7.809789 8.158741
57 7.808959 8.196333
58 7.793742 8.253595
59 7.782630 8.143880
60 7.778837 8.218993
61 7.757482 8.151361
62 7.756215 8.069249
63 7.742287 8.186823
64 7.741186 8.163983
65 7.712975 8.179126
66 7.719417 8.185987
67 7.705786 8.096780
68 7.696793 8.118060
69 7.710987 8.277222
70 7.691701 8.144834
71 7.678983 8.149554
72 7.680941 8.099727
73 7.653214 8.047531
74 7.663593 8.031298
75 7.650865 8.115176
76 7.648714 8.118855
77 7.636962 8.215175
78 7.637941 8.063943
79 7.618765 8.084944
80 7.505883 8.064046
81 7.484814 7.985559
82 7.474609 7.986085
83 7.464935 7.975471
84 7.459071 8.009722
85 7.440179 8.006673
86 7.449077 7.977382
87 7.448483 8.017541
88 7.432552 7.943904
89 7.433768 8.034753
90 7.426126 8.011002
91 7.428360 8.025486
92 7.426546 8.043641
93 7.416725 7.993887
94 7.403234 8.015546
95 7.407852 7.990801
96 7.401473 7.981968
97 7.409518 7.955933
98 7.388336 7.983950
99 7.396531 7.955808
100 7.390405 7.995557
101 7.391520 7.959658
102 7.377459 8.031617
103 7.375354 8.018701
104 7.378360 7.949031
105 7.375908 7.971586
106 7.362671 7.986615
107 7.361920 8.014280
108 7.364070 8.004800
109 7.365473 8.017344
110 7.350640 8.007828
111 7.360985 7.965081
112 7.334104 7.988443
113 7.341058 7.959937
114 7.339336 8.003548
115 7.327722 7.979363
116 7.328340 7.990625
117 7.325202 7.979060
118 7.327334 7.962387
119 7.323091 8.014996
120 7.263174 7.942602
121 7.260761 7.921996
122 7.248286 7.916072
123 7.238920 7.960476
124 7.240372 7.945837
125 7.235276 7.920579
126 7.237733 7.934981
127 7.232158 7.938411
128 7.232462 7.903676
129 7.237256 7.938721
130 7.223660 7.953797
131 7.226256 7.943439
132 7.230821 7.928773
133 7.217811 7.934505
134 7.221601 7.949119
135 7.214249 7.924620
136 7.221031 7.965032
137 7.214773 7.935234
138 7.203106 7.971462
139 7.214062 7.969199
140 7.203958 7.967462
141 7.203835 7.918598
142 7.200176 7.985976
143 7.197549 7.951879
144 7.191707 7.898446
145 7.199603 7.925115
146 7.201118 7.968459
147 7.195267 7.952318
148 7.192657 7.992513
149 7.190419 7.953283
150 7.188608 7.953282
151 7.186792 7.940212
152 7.181234 7.974935
153 7.184679 7.943046
154 7.182199 7.887877
155 7.178551 7.967081
156 7.179017 7.908117
157 7.172347 7.974987
158 7.178433 7.937630
159 7.185835 7.960622
160 7.141778 7.966958
161 7.138964 7.909787
162 7.136661 7.908365
163 7.133797 7.939935
164 7.129285 7.907634
165 7.128356 7.929790
166 7.119045 7.970564
167 7.122763 7.932105
168 7.130181 7.940372
169 7.128489 7.946284
170 7.120593 7.876213
171 7.135689 7.941043
172 7.119626 7.895321
173 7.118718 7.941473
174 7.125508 7.915921
175 7.120692 7.914019
176 7.114137 7.914306
177 7.120129 7.905666
178 7.119501 7.955270
179 7.105739 7.915064
180 7.109403 7.938155
181 7.109723 7.892807
182 7.103174 7.925981
183 7.113049 7.945465
