Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.009307 0.358333 0.013291 0.093750
1 0.004935 0.687083 0.015411 0.094375
2 0.003021 0.832083 0.016435 0.155625
3 0.002364 0.859167 0.016734 0.206250
4 0.001982 0.866667 0.010724 0.501875
5 0.001884 0.888333 0.004597 0.661875
6 0.001916 0.875833 0.003197 0.766875
7 0.001783 0.892083 0.003774 0.742500
8 0.001473 0.912500 0.003555 0.731875
9 0.001468 0.910417 0.002327 0.866875
10 0.001469 0.912917 0.002810 0.840625
11 0.001197 0.922500 0.002080 0.877500
12 0.001170 0.927917 0.002093 0.853125
13 0.001101 0.924167 0.005148 0.708750
14 0.001327 0.916667 0.002998 0.805625
15 0.001555 0.897500 0.004585 0.742500
16 0.001379 0.921250 0.002623 0.839375
17 0.001462 0.916250 0.004544 0.782500
18 0.001154 0.925000 0.001959 0.878750
19 0.000915 0.942083 0.001966 0.873750
20 0.000823 0.952500 0.001920 0.867500
21 0.000745 0.951667 0.001754 0.875000
22 0.000763 0.943333 0.001740 0.887500
23 0.000672 0.953750 0.001706 0.893125
24 0.000597 0.964167 0.001727 0.893750
25 0.000635 0.957500 0.001891 0.874375
26 0.000614 0.957917 0.001744 0.888125
27 0.000563 0.963750 0.001934 0.876250
28 0.000618 0.962500 0.001641 0.902500
29 0.000758 0.958333 0.002119 0.865625
30 0.000881 0.945000 0.002308 0.881875
31 0.000638 0.953750 0.002326 0.831250
32 0.000574 0.961250 0.001782 0.893750
33 0.000506 0.963333 0.001593 0.895625
34 0.000517 0.962083 0.001753 0.896875
35 0.000487 0.967083 0.001923 0.881875
36 0.000547 0.963750 0.001772 0.893750
37 0.000475 0.968750 0.001791 0.898750
38 0.000508 0.968333 0.002119 0.871875
39 0.000484 0.968750 0.001872 0.872500
40 0.000519 0.970833 0.001512 0.910000
41 0.000379 0.979167 0.001810 0.893125
42 0.000374 0.979583 0.001678 0.895625
43 0.000319 0.982917 0.001647 0.903750
44 0.000297 0.980417 0.001854 0.887500
45 0.000255 0.984583 0.001717 0.898750
46 0.000301 0.980833 0.002074 0.873750
47 0.000307 0.983750 0.001702 0.904375
48 0.000345 0.979583 0.001699 0.905000
49 0.000269 0.984583 0.002075 0.873125
50 0.000268 0.985000 0.001841 0.896250
51 0.000224 0.985000 0.001668 0.909375
52 0.000221 0.988333 0.001773 0.899375
53 0.000218 0.984167 0.001701 0.905625
54 0.000254 0.983750 0.001942 0.895000
55 0.000308 0.978750 0.001983 0.889375
56 0.000260 0.984583 0.001792 0.897500
57 0.000256 0.985833 0.001902 0.895000
58 0.000282 0.980833 0.002629 0.847500
59 0.000238 0.983333 0.001754 0.902500
60 0.000246 0.987917 0.001716 0.908125
61 0.000336 0.986667 0.001740 0.901250
62 0.000212 0.987917 0.001967 0.883125
63 0.000214 0.985417 0.001664 0.908750
64 0.000168 0.990417 0.001615 0.910000
65 0.000146 0.991667 0.001645 0.905625
66 0.000126 0.995417 0.001689 0.905625
67 0.000174 0.990833 0.001716 0.908750
68 0.000134 0.994167 0.001836 0.906875
69 0.000126 0.993750 0.001781 0.905625
70 0.000167 0.993750 0.001810 0.902500
71 0.000173 0.989583 0.001787 0.904375
72 0.000123 0.994583 0.001939 0.890000
73 0.000138 0.992500 0.001822 0.903750
74 0.000177 0.989583 0.001860 0.902500
75 0.000153 0.991250 0.001830 0.903750
76 0.000142 0.993333 0.001870 0.901250
77 0.000131 0.995000 0.001857 0.901250
78 0.000145 0.992083 0.001864 0.900625
79 0.000227 0.993333 0.001882 0.901250
80 0.000138 0.993750 0.002179 0.893750
81 0.000141 0.994167 0.001952 0.895000
82 0.000106 0.995833 0.001808 0.900625
83 0.000136 0.991667 0.001825 0.901875
84 0.000098 0.996250 0.001985 0.895000
85 0.000127 0.994583 0.001857 0.900625
86 0.000101 0.996667 0.001846 0.906875
87 0.000112 0.996250 0.001870 0.905625
88 0.000102 0.995417 0.001946 0.900000
89 0.000097 0.995417 0.001864 0.906250
90 0.000123 0.996667 0.001846 0.906250
91 0.000105 0.995417 0.001869 0.903125
92 0.000097 0.995000 0.001971 0.898750
93 0.000094 0.996667 0.001860 0.902500
94 0.000080 0.997500 0.001846 0.906250
95 0.000087 0.997083 0.001865 0.903125
96 0.000149 0.995417 0.001899 0.905625
97 0.000137 0.991667 0.002020 0.896875
98 0.000111 0.993333 0.001821 0.904375
99 0.000116 0.997083 0.001885 0.905625
100 0.000152 0.993333 0.001875 0.909375
101 0.000099 0.996250 0.001892 0.905000
102 0.000106 0.997083 0.001898 0.908125
103 0.000110 0.995000 0.001903 0.906875
104 0.000115 0.995000 0.001893 0.906875
105 0.000089 0.997083 0.001871 0.903750
106 0.000113 0.995833 0.001893 0.906250
107 0.000150 0.994583 0.001895 0.903750
108 0.000125 0.995417 0.001962 0.905000
109 0.000102 0.995000 0.001917 0.903125
110 0.000105 0.997083 0.001987 0.901875
111 0.000123 0.996667 0.001995 0.900625
112 0.000257 0.993333 0.001996 0.895000
113 0.000181 0.995000 0.001975 0.901875
114 0.000107 0.996250 0.002044 0.900000
115 0.000112 0.995417 0.002005 0.899375
116 0.000094 0.996667 0.001986 0.899375
117 0.000090 0.996250 0.001955 0.901875
118 0.000265 0.995000 0.001923 0.905000
119 0.000118 0.995833 0.001940 0.903750
120 0.000117 0.995833 0.001926 0.903750
121 0.000101 0.996250 0.002026 0.902500
122 0.000113 0.997917 0.001927 0.905000
123 0.000082 0.997083 0.001919 0.905000
124 0.000078 0.997917 0.001938 0.905625
125 0.000076 0.997500 0.001945 0.904375
126 0.000112 0.997500 0.001930 0.906875
127 0.000075 0.998333 0.001903 0.905000
128 0.000124 0.995833 0.001916 0.904375
129 0.000087 0.996667 0.001899 0.906250
130 0.000084 0.996667 0.001933 0.902500
131 0.000081 0.997500 0.001935 0.901250
132 0.000089 0.997917 0.001956 0.903125
133 0.000075 0.998333 0.001920 0.901250
134 0.000095 0.997083 0.001893 0.905000
135 0.000083 0.996667 0.001894 0.903125
136 0.000078 0.996667 0.001888 0.903750
