Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
143 0.002559 0.986667 0.030039 0.902500
144 0.002543 0.986250 0.029912 0.901875
145 0.002952 0.986250 0.029300 0.904375
146 0.003030 0.982917 0.030577 0.907500
147 0.002674 0.985833 0.029511 0.901875
148 0.002513 0.987083 0.030109 0.898750
149 0.002809 0.983750 0.030628 0.899375
150 0.002368 0.989167 0.029951 0.898125
151 0.002974 0.986667 0.030664 0.901250
152 0.002455 0.987500 0.030614 0.900625
153 0.002611 0.988750 0.030823 0.903125
154 0.002862 0.986667 0.030461 0.904375
155 0.003058 0.983333 0.030941 0.901875
156 0.002283 0.988333 0.030084 0.900625
157 0.002355 0.990833 0.030277 0.903750
158 0.002750 0.985833 0.030373 0.903125
159 0.003207 0.984583 0.030612 0.903750
160 0.002484 0.987083 0.030181 0.903750
161 0.002728 0.987500 0.029939 0.905000
162 0.002652 0.986250 0.030106 0.905000
163 0.003270 0.983750 0.031277 0.901875
164 0.002606 0.987917 0.030819 0.901875
165 0.002991 0.982500 0.030360 0.902500
166 0.002578 0.985833 0.031085 0.901875
167 0.002768 0.985833 0.030439 0.902500
168 0.003213 0.983750 0.030289 0.903125
169 0.002669 0.986250 0.030741 0.903750
170 0.002598 0.988750 0.030748 0.901875
171 0.002380 0.986667 0.030151 0.901875
172 0.002622 0.986250 0.030001 0.903125
