Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.007833 0.457500 0.015324 0.093750
1 0.003682 0.771667 0.015345 0.093750
2 0.002412 0.867500 0.012116 0.149375
3 0.001779 0.889583 0.013626 0.125000
4 0.001408 0.899583 0.009050 0.460000
5 0.001217 0.912917 0.004281 0.703125
6 0.001013 0.925833 0.002255 0.861250
7 0.000931 0.933750 0.002152 0.857500
8 0.000909 0.931667 0.002257 0.865000
9 0.001026 0.921250 0.002989 0.821875
10 0.000993 0.924167 0.004386 0.642500
11 0.000916 0.935000 0.004127 0.753125
12 0.000786 0.939167 0.002453 0.826250
13 0.000721 0.947917 0.002710 0.812500
