Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.013936 0.526667 0.024550 0.093750
1 0.006847 0.774583 0.029440 0.136250
2 0.004900 0.841667 0.011693 0.601875
3 0.004351 0.857917 0.007403 0.729375
4 0.004060 0.870417 0.006674 0.770625
5 0.003508 0.875833 0.005566 0.801250
6 0.003290 0.889583 0.005646 0.806875
7 0.003111 0.889583 0.009843 0.675000
8 0.003282 0.885000 0.004897 0.840625
9 0.003284 0.882500 0.006680 0.788750
10 0.002770 0.898333 0.004129 0.866250
11 0.002672 0.904583 0.006442 0.748750
12 0.002537 0.901250 0.003800 0.880625
13 0.002259 0.917083 0.004035 0.870625
14 0.002173 0.926250 0.004544 0.838125
15 0.002262 0.915833 0.005904 0.803750
16 0.002075 0.926250 0.004937 0.829375
17 0.001946 0.925833 0.006051 0.794375
18 0.002104 0.919583 0.004672 0.855000
19 0.002000 0.930833 0.004757 0.849375
20 0.001715 0.940000 0.004290 0.843125
21 0.001798 0.932083 0.004386 0.853750
22 0.001444 0.949167 0.004159 0.854375
23 0.001287 0.952500 0.003679 0.876250
24 0.001169 0.957917 0.003792 0.880000
25 0.001165 0.956667 0.003829 0.870625
26 0.001222 0.954583 0.003824 0.870625
27 0.001132 0.957500 0.003878 0.880000
28 0.001022 0.960417 0.003943 0.866875
29 0.001074 0.959167 0.003801 0.890000
30 0.001090 0.956667 0.003666 0.877500
31 0.000934 0.965417 0.003917 0.873125
32 0.001075 0.959167 0.004001 0.863125
33 0.001060 0.959167 0.003802 0.888125
34 0.001197 0.952083 0.004242 0.874375
35 0.001258 0.950417 0.004131 0.865625
36 0.001295 0.952917 0.003973 0.861875
37 0.000962 0.965417 0.003820 0.887500
38 0.001268 0.950000 0.004238 0.870625
39 0.001076 0.959167 0.004493 0.850000
40 0.000881 0.967917 0.003695 0.890625
41 0.000804 0.970417 0.003801 0.886250
42 0.000673 0.977083 0.003533 0.898125
43 0.000661 0.975000 0.003707 0.891250
44 0.000578 0.977500 0.003637 0.897500
45 0.000696 0.973333 0.003629 0.895625
46 0.000693 0.977500 0.004117 0.885000
47 0.000602 0.977917 0.003947 0.871875
48 0.000571 0.977917 0.003849 0.888125
49 0.000769 0.970000 0.003956 0.885000
50 0.000742 0.974167 0.004328 0.875625
51 0.000701 0.973333 0.003788 0.886875
52 0.000606 0.978750 0.004045 0.884375
53 0.000651 0.977083 0.004054 0.878125
54 0.000654 0.975417 0.003686 0.896250
55 0.000499 0.981250 0.003665 0.895000
56 0.000443 0.985833 0.003747 0.893750
57 0.000419 0.986667 0.005900 0.836250
58 0.000493 0.982500 0.004161 0.885000
59 0.000603 0.978333 0.004352 0.873125
60 0.000456 0.985417 0.003718 0.893125
61 0.000442 0.983750 0.003804 0.898125
62 0.000336 0.988333 0.004281 0.875000
63 0.000440 0.985417 0.003748 0.895000
64 0.000318 0.988333 0.003947 0.893125
65 0.000349 0.986667 0.003895 0.887500
66 0.000371 0.988333 0.003989 0.895625
67 0.000431 0.984167 0.003880 0.891875
68 0.000377 0.986667 0.004418 0.873750
69 0.000366 0.984167 0.004179 0.888750
70 0.000322 0.990000 0.004100 0.896250
71 0.000352 0.990000 0.004268 0.886250
72 0.000285 0.988750 0.004285 0.888750
73 0.000279 0.991250 0.004305 0.900625
74 0.000339 0.987083 0.004306 0.893750
75 0.000311 0.987500 0.004310 0.895000
76 0.000305 0.988750 0.004490 0.886250
77 0.000360 0.987500 0.004597 0.889375
78 0.000267 0.988750 0.004049 0.896875
79 0.000358 0.985417 0.004631 0.876875
80 0.000281 0.989583 0.004083 0.898125
81 0.000218 0.994167 0.004445 0.877500
82 0.000279 0.992917 0.004085 0.894375
83 0.000219 0.993750 0.004068 0.896250
84 0.000202 0.995417 0.004105 0.896250
85 0.000324 0.987500 0.004193 0.898125
86 0.000259 0.991667 0.004336 0.879375
87 0.000226 0.992917 0.004024 0.895000
88 0.000224 0.992083 0.004149 0.889375
89 0.000229 0.991250 0.004314 0.901250
90 0.000206 0.992917 0.004188 0.887500
91 0.000229 0.992500 0.004088 0.893750
92 0.000239 0.991250 0.004172 0.900625
93 0.000221 0.992500 0.004154 0.896250
94 0.000206 0.993750 0.004148 0.897500
95 0.000166 0.996667 0.004213 0.891875
96 0.000197 0.994583 0.004100 0.896875
97 0.000181 0.994167 0.004145 0.894375
98 0.000226 0.991667 0.004442 0.895000
99 0.000225 0.992500 0.004226 0.896875
100 0.000146 0.995833 0.004306 0.895000
101 0.000152 0.995000 0.004125 0.900000
102 0.000140 0.997083 0.004044 0.902500
103 0.000142 0.996667 0.004097 0.902500
104 0.000142 0.996667 0.004145 0.898125
105 0.000140 0.996250 0.004121 0.900000
106 0.000131 0.996250 0.004101 0.900625
107 0.000162 0.995000 0.004267 0.895000
108 0.000154 0.995000 0.004211 0.895625
109 0.000134 0.997500 0.004265 0.898750
110 0.000161 0.996250 0.004260 0.899375
111 0.000157 0.995417 0.004218 0.901250
112 0.000127 0.997083 0.004247 0.901250
113 0.000153 0.994583 0.004303 0.895625
114 0.000137 0.997500 0.004401 0.893750
115 0.000137 0.997083 0.004247 0.895625
116 0.000154 0.995833 0.004211 0.900000
117 0.000136 0.997083 0.004296 0.898750
118 0.000142 0.996250 0.004231 0.901875
119 0.000129 0.997083 0.004410 0.895000
120 0.000121 0.997917 0.004341 0.896875
121 0.000113 0.997500 0.004346 0.898750
122 0.000125 0.997500 0.004421 0.894375
123 0.000141 0.996250 0.004322 0.896875
124 0.000120 0.996250 0.004334 0.895625
125 0.000138 0.995833 0.004330 0.900000
126 0.000129 0.996667 0.004408 0.899375
127 0.000134 0.997083 0.004439 0.894375
128 0.000127 0.997917 0.004350 0.897500
129 0.000121 0.998333 0.004368 0.898750
130 0.000145 0.995417 0.004406 0.898125
131 0.000111 0.998750 0.004464 0.894375
132 0.000117 0.997917 0.004375 0.895625
133 0.000116 0.996667 0.004348 0.900625
134 0.000106 0.998750 0.004347 0.896875
135 0.000111 0.997500 0.004348 0.901250
136 0.000121 0.997083 0.004451 0.899375
137 0.000133 0.996250 0.004406 0.901250
138 0.000112 0.997083 0.004476 0.894375
139 0.000132 0.997083 0.004363 0.897500
140 0.000117 0.997500 0.004391 0.898125
141 0.000143 0.995417 0.004373 0.895625
142 0.000115 0.997500 0.004363 0.897500
143 0.000115 0.997083 0.004359 0.898125
144 0.000112 0.997500 0.004438 0.898125
145 0.000105 0.998333 0.004463 0.898750
146 0.000126 0.996667 0.004493 0.895000
147 0.000106 0.997500 0.004443 0.900000
148 0.000122 0.997083 0.004426 0.895625
149 0.000124 0.996250 0.004456 0.895625
150 0.000118 0.997083 0.004417 0.898750
151 0.000124 0.996667 0.004446 0.896250
152 0.000106 0.997083 0.004549 0.898125
153 0.000118 0.997083 0.004433 0.896250
154 0.000147 0.996250 0.004459 0.895000
155 0.000100 0.998750 0.004488 0.898750
156 0.000122 0.997917 0.004419 0.900625
157 0.000101 0.997917 0.004429 0.898750
158 0.000106 0.997500 0.004439 0.898750
159 0.000111 0.997500 0.004609 0.893750
160 0.000113 0.997083 0.004450 0.900000
161 0.000138 0.995833 0.004431 0.900625
162 0.000117 0.997083 0.004439 0.898125
