Epoch Train_Loss Train_Accuracy Test_Loss Test_Accuracy
0 0.050813 0.518750 0.034464 0.728750
1 0.030475 0.707917 0.032656 0.711875
2 0.027035 0.750000 0.023357 0.813750
3 0.022648 0.802083 0.034978 0.641250
4 0.021536 0.800833 0.029334 0.720000
5 0.019784 0.819583 0.017908 0.850625
6 0.017733 0.845833 0.019321 0.839375
7 0.017046 0.850417 0.019158 0.850000
8 0.016455 0.853750 0.023602 0.763750
9 0.014536 0.866250 0.017666 0.845000
10 0.014445 0.872500 0.017117 0.853750
11 0.013793 0.874583 0.020152 0.826875
12 0.012438 0.892500 0.015615 0.856875
13 0.012842 0.879583 0.017477 0.838750
14 0.011694 0.890417 0.016517 0.857500
15 0.012213 0.878750 0.015560 0.860000
16 0.011028 0.894583 0.014327 0.879375
17 0.011277 0.896250 0.016442 0.855000
18 0.010426 0.904583 0.014803 0.862500
19 0.011353 0.895417 0.014843 0.872500
20 0.008326 0.923333 0.012665 0.886250
21 0.007890 0.918750 0.012492 0.887500
22 0.007535 0.925000 0.012537 0.888750
23 0.006749 0.934167 0.012058 0.885000
24 0.007165 0.929167 0.013649 0.873125
25 0.006896 0.934167 0.013443 0.878750
26 0.006517 0.939167 0.013601 0.878750
27 0.006986 0.933333 0.012982 0.888125
28 0.006992 0.929583 0.013247 0.881875
29 0.005835 0.942083 0.012072 0.893125
30 0.006162 0.943333 0.013172 0.885000
31 0.005867 0.942083 0.014415 0.880000
32 0.006543 0.933750 0.016034 0.843125
33 0.006349 0.935833 0.014030 0.875000
34 0.006009 0.943333 0.014877 0.876875
35 0.006329 0.936250 0.016528 0.881875
36 0.006107 0.939167 0.013453 0.881875
37 0.005646 0.942917 0.013809 0.885625
38 0.005158 0.948750 0.014585 0.876250
39 0.005255 0.944167 0.015128 0.878125
40 0.004360 0.956250 0.012273 0.904375
41 0.004349 0.959167 0.013226 0.900625
42 0.003461 0.965000 0.012572 0.897500
43 0.003691 0.961250 0.012908 0.900000
44 0.003862 0.962917 0.013038 0.899375
45 0.003823 0.962083 0.012707 0.902500
46 0.003748 0.962500 0.013072 0.890625
47 0.003434 0.966250 0.012433 0.896875
48 0.003790 0.959583 0.014105 0.880625
49 0.003179 0.968750 0.012790 0.896875
50 0.003568 0.965000 0.015246 0.886250
51 0.003250 0.970000 0.014750 0.871875
52 0.003280 0.968333 0.013888 0.895000
53 0.003618 0.965000 0.014721 0.893125
54 0.003271 0.963333 0.013950 0.890000
55 0.003177 0.963750 0.013805 0.898125
56 0.002974 0.969583 0.013941 0.888750
57 0.003193 0.965000 0.013736 0.895625
58 0.003143 0.969583 0.013935 0.899375
59 0.003807 0.960833 0.013301 0.903750
60 0.002846 0.971250 0.013586 0.895625
61 0.002416 0.977500 0.013151 0.906875
62 0.002595 0.975417 0.013849 0.894375
63 0.002807 0.974167 0.014579 0.887500
64 0.002107 0.979583 0.013802 0.897500
65 0.002274 0.976667 0.013731 0.900625
66 0.002331 0.974167 0.013931 0.895000
67 0.002330 0.977083 0.014050 0.897500
68 0.002364 0.975000 0.018350 0.861875
69 0.002334 0.975833 0.014384 0.893750
70 0.002001 0.979167 0.014057 0.901250
71 0.001955 0.980417 0.014223 0.892500
72 0.002268 0.980000 0.014224 0.896875
73 0.001885 0.982917 0.014568 0.890000
74 0.002033 0.980000 0.014862 0.890000
75 0.002075 0.980000 0.014065 0.901250
76 0.001576 0.984167 0.014604 0.894375
77 0.001933 0.980833 0.014527 0.906250
78 0.001769 0.981667 0.014240 0.901875
79 0.001676 0.981667 0.014402 0.904375
80 0.001982 0.976667 0.014520 0.901250
81 0.001818 0.981250 0.013989 0.895625
82 0.001805 0.979167 0.014589 0.898125
83 0.001362 0.988333 0.014401 0.896875
84 0.001387 0.983333 0.015614 0.891250
85 0.001502 0.989167 0.014991 0.898125
86 0.001794 0.983333 0.014465 0.896250
87 0.001483 0.985833 0.015528 0.891875
88 0.001312 0.987500 0.015089 0.898125
89 0.001441 0.985417 0.014729 0.896250
90 0.001363 0.986667 0.016498 0.886250
91 0.001426 0.984167 0.014707 0.903125
92 0.001482 0.984583 0.016030 0.891250
93 0.001453 0.985000 0.014786 0.900000
94 0.001321 0.988333 0.014881 0.895625
95 0.001134 0.991250 0.015730 0.894375
96 0.001372 0.986667 0.015603 0.892500
97 0.001209 0.990000 0.015128 0.898125
98 0.001086 0.992083 0.015554 0.891875
99 0.001225 0.985833 0.015072 0.898750
100 0.001436 0.984583 0.015124 0.900625
101 0.001286 0.989583 0.015627 0.891875
102 0.001254 0.987500 0.014937 0.898125
103 0.001060 0.990000 0.015447 0.896875
104 0.000962 0.992500 0.015558 0.896875
105 0.001118 0.989167 0.014876 0.896875
106 0.001009 0.992083 0.015408 0.897500
107 0.001360 0.989167 0.015579 0.900625
108 0.000995 0.990833 0.015310 0.893750
109 0.001062 0.990000 0.015492 0.896250
110 0.000930 0.991667 0.015502 0.891250
111 0.000942 0.989583 0.016174 0.896875
112 0.000923 0.990417 0.015287 0.896875
113 0.001063 0.990000 0.015596 0.895625
114 0.001052 0.992083 0.015581 0.899375
115 0.001115 0.988750 0.015484 0.897500
116 0.001003 0.992500 0.016025 0.895000
117 0.000873 0.992083 0.016093 0.895000
118 0.001061 0.989167 0.015433 0.895625
119 0.001209 0.988750 0.015648 0.891875
120 0.000985 0.990417 0.015963 0.890625
121 0.000952 0.989167 0.015416 0.895625
122 0.000901 0.992083 0.015991 0.892500
123 0.000825 0.992917 0.015849 0.894375
124 0.001002 0.992500 0.015538 0.895000
125 0.001006 0.990417 0.015455 0.896250
126 0.000821 0.993333 0.015987 0.896875
127 0.000817 0.992917 0.016014 0.893125
128 0.000990 0.990417 0.015893 0.893750
129 0.000924 0.992083 0.016188 0.893125
130 0.000774 0.991667 0.015728 0.892500
131 0.000834 0.993750 0.015752 0.894375
132 0.000689 0.995833 0.015889 0.895625
133 0.000878 0.991667 0.016061 0.895000
134 0.000772 0.993750 0.016106 0.892500
135 0.000805 0.994583 0.015841 0.892500
136 0.000856 0.991250 0.015733 0.895625
137 0.000815 0.993333 0.016091 0.889375
138 0.001027 0.991667 0.016014 0.893125
139 0.000986 0.992083 0.016189 0.893750
140 0.000756 0.993333 0.015918 0.890000
141 0.000706 0.995000 0.016151 0.896250
142 0.000787 0.994583 0.016134 0.896875
143 0.000805 0.993750 0.016180 0.891250
144 0.000896 0.991250 0.016195 0.895000
145 0.000870 0.991667 0.016177 0.893125
146 0.000635 0.995000 0.016151 0.896875
147 0.000782 0.992500 0.016204 0.895000
148 0.000790 0.992917 0.016242 0.893125
149 0.000693 0.993750 0.016262 0.896875
150 0.000804 0.991667 0.016187 0.895625
151 0.000703 0.994167 0.016349 0.895625
152 0.000755 0.992917 0.016563 0.896250
153 0.000749 0.995000 0.016217 0.895000
154 0.000803 0.994167 0.016437 0.896875
155 0.000831 0.990417 0.016366 0.898750
156 0.000782 0.994583 0.016183 0.897500
157 0.000742 0.993333 0.016189 0.898750
158 0.000763 0.993333 0.016236 0.893750
159 0.000633 0.995000 0.016294 0.900000
160 0.000709 0.993333 0.016570 0.895625
161 0.000689 0.995417 0.016241 0.898125
162 0.000701 0.993333 0.016295 0.898125
163 0.000685 0.994167 0.016036 0.898125
164 0.000850 0.992083 0.016489 0.896250
165 0.000785 0.991667 0.016043 0.898125
166 0.000862 0.992083 0.016385 0.896875
167 0.000660 0.995417 0.016278 0.896875
168 0.000793 0.993750 0.016389 0.896875
169 0.000821 0.992917 0.016255 0.897500
170 0.000934 0.993750 0.016476 0.895625
171 0.000830 0.992917 0.016392 0.895625
172 0.000633 0.996250 0.016207 0.895625
173 0.000707 0.993750 0.016119 0.898750
174 0.000769 0.992500 0.016040 0.898750
175 0.000819 0.993750 0.016663 0.893750
176 0.000707 0.995000 0.016522 0.896875
177 0.000697 0.995000 0.016421 0.895000
178 0.000769 0.992083 0.016216 0.896875
179 0.000552 0.996250 0.016337 0.895000
180 0.000671 0.995000 0.016322 0.898125
181 0.000669 0.995000 0.016534 0.896250
182 0.000793 0.992500 0.016337 0.896875
183 0.000679 0.993750 0.016517 0.897500
184 0.000940 0.993750 0.016176 0.896875
185 0.000720 0.995000 0.016434 0.895625
186 0.000902 0.992083 0.016089 0.895000
187 0.000753 0.994167 0.016425 0.894375
188 0.000559 0.996667 0.016263 0.895000
189 0.000578 0.994167 0.016359 0.893125
190 0.000721 0.994167 0.016196 0.894375
191 0.000877 0.990000 0.016576 0.895000
192 0.000656 0.993750 0.016405 0.895625
193 0.000629 0.995000 0.016467 0.892500
194 0.000741 0.994167 0.016384 0.895000
195 0.000687 0.994167 0.016370 0.896250
196 0.000693 0.994167 0.015958 0.895625
197 0.000738 0.993750 0.016203 0.897500
198 0.000740 0.995000 0.016171 0.896875
199 0.000753 0.995417 0.016473 0.896250
